순위,이름,포지션,나이,국가,팀,몸값
85,Doinik Szoboszlai,Attacking idfield,22,Hungary,Liverpool FC,50
86,Dejan Kulusevski,Right Winger,23,Sweden,Tottenha Hotspur,50
87,Sandro Tonali,Defensive idfield,23,Italy,Newcastle United,50
88,oussa Diaby,Right Winger,24,France,Aston Villa,50
89,Diogo Jota,Left Winger,26,Portugal,Liverpool FC,50
90,ikel erino,Central idfield,27,Spain,Real Sociedad,50
91,Sergej ilinkovic-Savic,Central idfield,28,Serbia,Al-Hilal SFC,50
92,ilan Skriniar,Centre-Back,28,Slovakia,Paris Saint-Gerain,50
93,Jo?o Cancelo,Right-Back,29,Portugal,FC Barcelona,50
94,Heung-in Son,Left Winger,31,"Korea, South",Tottenha Hotspur,50
95,Richarlison,Centre-Forward,26,Brazil,Tottenha Hotspur,48
96,Ant?nio Silva,Centre-Back,19,Portugal,SL Benfica,45
97,Rasus Højlund,Centre-Forward,20,Denark,anchester United,45
98,atheus Nunes,Central idfield,25,Portugal,anchester City,45
99,Aadou Onana,Defensive idfield,22,Belgiu,Everton FC,45
100,Lucas Paquet?,Attacking idfield,26,Brazil,West Ha United,45
101,Jadon Sancho,Left Winger,23,England,anchester United,45
102,Pau Torres,Centre-Back,26,Spain,Aston Villa,45
103,Sven Botan,Centre-Back,23,Netherlands,Newcastle United,45
104,Diogo Costa,Goalkeeper,23,Portugal,FC Porto,45
105,Gianluigi Donnarua,Goalkeeper,24,Italy,Paris Saint-Gerain,45
106,Lucas Hern?ndez,Centre-Back,27,France,Paris Saint-Gerain,45
107,ike aignan,Goalkeeper,28,France,AC ilan,45
108,Pierre-Eile Højbjerg,Central idfield,28,Denark,Tottenha Hotspur,45
109,Leon Goretzka,Central idfield,28,Gerany,Bayern unich,45
110,Thibaut Courtois,Goalkeeper,31,Belgiu,Real adrid,45
111,Jacob Rasey,Central idfield,22,England,Aston Villa,42
112,Vitinha,Central idfield,23,Portugal,Paris Saint-Gerain,42
113,Jurrien Tiber,Centre-Back,22,Netherlands,Arsenal FC,42
114,Joelinton,Central idfield,27,Brazil,Newcastle United,42
115,Fabinho,Defensive idfield,29,Brazil,Al-Ittihad Club,42
116,Oleksandr Zinchenko,Left-Back,26,Ukraine,Arsenal FC,42
117,Luke Shaw,Left-Back,28,England,anchester United,42
118,Nathan Ak?,Centre-Back,28,Netherlands,anchester City,42
119,anu Kon?,Central idfield,22,France,Borussia ?nchengladbach,40
120,Giorgio Scalvini,Centre-Back,19,Italy,Atalanta BC,40
121,Y?rey Pino,Right Winger,20,Spain,Villarreal CF,40
122,Xavi Sions,Right Winger,20,Netherlands,RB Leipzig,40
123,Pedro Porro,Right-Back,24,Spain,Tottenha Hotspur,40
124,ohaed Kudus,Attacking idfield,23,Ghana,West Ha United,40
125,Breer,Centre-Back,26,Brazil,Juventus FC,40
126,Kari Adeyei,Left Winger,21,Gerany,Borussia Dortund,40
127,Jereie Fripong,Right-Back,22,Netherlands,Bayer 04 Leverkusen,40
128,Eberechi Eze,Attacking idfield,25,England,Crystal Palace,40
129,Kh?phren Thura,Central idfield,22,France,OGC Nice,40
130,Beno?t Badiashile,Centre-Back,22,France,Chelsea FC,40
131,Douglas Luiz,Central idfield,25,Brazil,Aston Villa,40
132,organ Gibbs-White,Attacking idfield,23,England,Nottingha Forest,40
133,Aaron Rasdale,Goalkeeper,25,England,Arsenal FC,40
134,art?n Zubiendi,Defensive idfield,24,Spain,Real Sociedad,40
135,Nico Schlotterbeck,Centre-Back,23,Gerany,Borussia Dortund,40
136,Diogo Dalot,Right-Back,24,Portugal,anchester United,40
137,Rodrigo Bentancur,Central idfield,26,Uruguay,Tottenha Hotspur,40
138,Frank Anguissa,Central idfield,27,Caeroon,SSC Napoli,40
139,Benjain Pavard,Centre-Back,27,France,Inter ilan,40
140,Isa?l Bennacer,Defensive idfield,25,Algeria,AC ilan,40
141,ikel Oyarzabal,Left Winger,26,Spain,Real Sociedad,40
142,Federico Chiesa,Left Winger,25,Italy,Juventus FC,40
143,Tay Abraha,Centre-Forward,25,England,AS Roa,40
144,Ollie Watkins,Centre-Forward,27,England,Aston Villa,40
145,Fikayo Toori,Centre-Back,25,England,AC ilan,40
146,Dani Olo,Attacking idfield,25,Spain,RB Leipzig,40
147,Jo?o Palhinha,Defensive idfield,28,Portugal,Fulha FC,40
148,Rodrigo de Paul,Central idfield,29,Argentina,Atl?tico de adrid,40
149,Ederson,Goalkeeper,30,Brazil,anchester City,40
150,Andrew Robertson,Left-Back,29,Scotland,Liverpool FC,40
151,R?ben Neves,Defensive idfield,26,Portugal,Al-Hilal SFC,40
152,Andreas Christensen,Centre-Back,27,Denark,FC Barcelona,40
153,Stanislav Lobotka,Defensive idfield,28,Slovakia,SSC Napoli,40
154,Julian Brandt,Attacking idfield,27,Gerany,Borussia Dortund,40
155,John Stones,Centre-Back,29,England,anchester City,40
156,Adrien Rabiot,Central idfield,28,France,Juventus FC,40
157,Hakan Calhanoglu,Central idfield,29,Turkey,Inter ilan,40
158,arco Verratti,Central idfield,30,Italy,Al-Arabi SC,40
159,Roelu Lukaku,Centre-Forward,30,Belgiu,AS Roa,40
160,David Alaba,Centre-Back,31,Austria,Real adrid,40
161,Caseiro,Defensive idfield,31,Brazil,anchester United,40
162,ichael Olise,Right Winger,21,France,Crystal Palace,38
163,Anthony Gordon,Left Winger,22,England,Newcastle United,38
164,Brennan Johnson,Right Winger,22,Wales,Tottenha Hotspur,38
165,Ibrahia Konat?,Centre-Back,24,France,Liverpool FC,38
166,Joe Willock,Central idfield,24,England,Newcastle United,38
167,Jarrod Bowen,Right Winger,26,England,West Ha United,38
168,anuel Akanji,Centre-Back,28,Switzerland,anchester City,38
169,Jaes Ward-Prowse,Central idfield,28,England,West Ha United,38
170,ateo Kovacic,Central idfield,29,Croatia,anchester City,38
171,Piero Hincapi?,Centre-Back,21,Ecuador,Bayer 04 Leverkusen,35
172,Elye Wahi,Centre-Forward,20,France,RC Lens,35
173,Levi Colwill,Centre-Back,20,England,Chelsea FC,35
174,Harvey Elliott,Attacking idfield,20,England,Liverpool FC,35
175,Cheick Doucour?,Defensive idfield,23,ali,Crystal Palace,35
176,Ansu Fati,Left Winger,20,Spain,Brighton & Hove Albion,35
177,Orkun K?kc?,Central idfield,22,Turkey,SL Benfica,35
178,Nicol? Fagioli,Central idfield,22,Italy,Juventus FC,35
179,Nahuel olina,Right-Back,25,Argentina,Atl?tico de adrid,35
180,Aine Gouiri,Centre-Forward,23,France,Stade Rennais FC,35
181,Bryan beuo,Right Winger,24,Caeroon,Brentford FC,35
182,Giacoo Raspadori,Second Striker,23,Italy,SSC Napoli,35
183,Edson ?lvarez,Defensive idfield,25,exico,West Ha United,35
184,Harvey Barnes,Left Winger,25,England,Newcastle United,35
185,Eile Sith Rowe,Attacking idfield,23,England,Arsenal FC,35
186,arc Gu?hi,Centre-Back,23,England,Crystal Palace,35
187,Ibrahi Sangar?,Defensive idfield,25,Cote d'Ivoire,Nottingha Forest,35
188,Lo?s Openda,Centre-Forward,23,Belgiu,RB Leipzig,35
189,Nayef Aguerd,Centre-Back,27,orocco,West Ha United,35
190,Robin Le Norand,Centre-Back,26,Spain,Real Sociedad,35
191,Ben Chilwell,Left-Back,26,England,Chelsea FC,35
192,Lorenzo Pellegrini,Attacking idfield,27,Italy,AS Roa,35
193,arc Cucurella,Left-Back,25,Spain,Chelsea FC,35
194,Toas Soucek,Defensive idfield,28,Czech Republic,West Ha United,35
195,arcos Llorente,Central idfield,28,Spain,Atl?tico de adrid,35
196,Gregor Kobel,Goalkeeper,25,Switzerland,Borussia Dortund,35
197,Ivan Toney,Centre-Forward,27,England,Brentford FC,35
198,Jos? ar?a Gi?nez,Centre-Back,28,Uruguay,Atl?tico de adrid,35
199,Andr? Onana,Goalkeeper,27,Caeroon,anchester United,35
200,Ot?vio,Right Winger,28,Portugal,Al-Nassr FC,35
201,Thoas Partey,Defensive idfield,30,Ghana,Arsenal FC,35
202,Federico Diarco,Left-Back,25,Italy,Inter ilan,35
203,Piotr Zielinski,Central idfield,29,Poland,SSC Napoli,35
204,Niklas S?le,Centre-Back,28,Gerany,Borussia Dortund,35
205,Rapha?l Varane,Centre-Back,30,France,anchester United,35
